,similarity_score
1539,0.7489026
1540,0.7509659
1541,0.7534789
1542,0.7547853
1543,0.7373805
1544,0.69503415
1545,0.7682935
1546,0.7467234
1547,0.7934457
1548,0.7303582
1549,0.74562514
1550,0.75298697
1551,0.7840496
1552,0.76108766
1553,0.74049616
1554,0.68848115
1555,0.75258577
1556,0.7627876
1557,0.74620855
1558,0.7659196
1559,0.76163685
1560,0.7632408
1561,0.74471563
1562,0.75873405
1563,0.7804077
1564,0.74075747
1565,0.7529279
1566,0.74015665
1567,0.7478429
1568,0.76935244
1569,0.74512124
1570,0.7632408
1571,0.7400962
1572,0.6988497
1573,0.7284837
1574,0.7525801
1575,0.7310239
1576,0.7488549
1577,0.7232804
1578,0.7232804
1579,0.72913754
1580,0.7728987
1581,0.75957835
1582,0.7262802
1583,0.76790833
1584,0.7507752
1585,0.75298697
1586,0.7636864
1587,0.76129675
1588,0.7245563
1589,0.78270125
1590,0.6413792
1591,0.7043135
1592,0.7291629
1593,0.74905145
1594,0.7579627
1595,0.7247236
1596,0.7294594
1597,0.7179762
1598,0.7200922
1599,0.73413384
1600,0.7622813
1601,0.7593452
1602,0.74512124
1603,0.7542277
1604,0.7258204
1605,0.7299066
1606,0.73769516
1607,0.71595323
1608,0.72938246
1609,0.76163685
1610,0.76935244
1611,0.6907269
1612,0.72045135
1613,0.7327417
1614,0.68848115
1615,0.7317164
1616,0.73046124
1617,0.7428881
1618,0.72683406
1619,0.7419568
1620,0.7420446
1621,0.74194205
1622,0.70480704
1623,0.7173703
1624,0.74512124
1625,0.7355054
1626,0.7305461
1627,0.7490146
1628,0.70599663
1629,0.7547853
1630,0.7334763
1631,0.72725534
1632,0.7653769
1633,0.74512124
1634,0.73168796
1635,0.7059078
1636,0.75175583
1637,0.7279857
1638,0.7444415
1639,0.7467234
1640,0.72660494
1641,0.7164325
1642,0.7569457
1643,0.76274127
1644,0.7635563
1645,0.74410415
1646,0.6966164
1647,0.72756594
1648,0.71600664
1649,0.7430054
1650,0.7512516
1651,0.71434057
1652,0.72885776
1653,0.6461661
1654,0.7365131
1655,0.739204
1656,0.7469561
1657,0.7220869
1658,0.74015665
1659,0.73821056
1660,0.7587968
1661,0.77773106
1662,0.73046124
1663,0.74512124
1664,0.7187111
1665,0.75276655
1666,0.7659196
1667,0.72312003
1668,0.72460455
